PARTICLE_SIMULATION_DATA_3D
NumBalls: 11
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
NumSteps: 2001
Step 0 0.1
10 10.2589 62.622 75.7641
Step 39 0.1
0 -0.000106626 -0.00643 0.00587955
1 34.4922 118.788 -84.9899
2 -31.7595 -82.2805 -66.9281
3 123.553 -144.974 -149.657
4 -125.771 -146.911 95.5001
5 30.7363 -133.955 -103.838
6 -84.694 -97.0192 149.831
7 57.0869 -125.532 51.2637
8 -89.4179 147.637 -25.1033
9 -75.0143 -58.5606 136.418
10 10.1387 62.5703 75.6037
Step 40 0.1
0 -0.000108766 -0.0067521 0.00618875
1 34.5882 118.666 -84.8831
2 -31.6301 -82.2849 -66.99
3 123.621 -144.949 -149.708
4 -125.864 -146.864 95.4673
5 30.8032 -134.036 -103.714
6 -84.6191 -96.9156 149.939
7 57.0699 -125.401 51.2124
8 -89.2582 147.708 -25.2407
9 -74.8475 -58.4681 136.338
10 10.0182 62.5166 75.441
Step 41 0.1
0 -0.000110717 -0.00708164 0.00650634
1 34.6838 118.543 -84.7756
2 -31.4999 -82.2874 -67.0504
3 123.689 -144.924 -149.758
4 -125.957 -146.817 95.4342
5 30.87 -134.117 -103.588
6 -84.5437 -96.8117 150.047
7 57.0524 -125.269 51.1607
8 -89.098 147.778 -25.378
9 -74.6802 -58.3752 136.257
10 9.89733 62.4609 75.2758
Step 42 0.1
0 -0.000112468 -0.0074186 0.00683235
1 34.7791 118.419 -84.6673
2 -31.3691 -82.2881 -67.1093
3 123.757 -144.898 -149.809
4 -126.049 -146.769 95.4008
5 30.9367 -134.197 -103.463
6 -84.4681 -96.7073 150.154
7 57.0343 -125.136 51.1084
8 -88.9373 147.848 -25.5151
9 -74.5124 -58.2819 136.175
10 9.77618 62.4033 75.1083
Step 43 0.1
0 -0.000114009 -0.00776294 0.00716683
1 34.8742 118.294 -84.5582
2 -31.2375 -82.2869 -67.1667
3 123.824 -144.873 -149.858
4 -126.141 -146.722 95.3672
5 31.0031 -134.276 -103.336
6 -84.3921 -96.6025 150.261
7 57.0156 -125.001 51.0556
8 -88.776 147.916 -25.6521
9 -74.3442 -58.1883 136.092
10 9.65471 62.3437 74.9384
Step 44 0.1
0 -0.000115329 -0.00811462 0.00750982
1 34.9689 118.167 -84.4484
2 -31.1052 -82.284 -67.2227
3 123.891 -144.847 -149.908
4 -126.233 -146.673 95.3332
5 31.0694 -134.354 -103.209
6 -84.3158 -96.4973 150.367
7 56.9964 -124.865 51.0024
8 -88.6143 147.984 -25.7889
9 -74.1754 -58.0944 136.009
10 9.53294 62.282 74.7661
Step 45 0.1
0 -0.000116415 -0.00847361 0.00786136
1 35.0632 118.04 -84.3378
2 -30.9722 -82.2793 -67.2771
3 123.958 -144.821 -149.957
4 -126.324 -146.624 95.299
5 31.1355 -134.432 -103.081
6 -84.2391 -96.3918 150.472
7 56.9767 -124.728 50.9486
8 -88.452 148.051 -25.9256
9 -74.0062 -58.0001 135.924
10 9.41085 62.2184 74.5913
Step 46 0.1
0 -0.000117259 -0.00883987 0.00822149
1 35.1573 117.912 -84.2265
2 -30.8386 -82.2727 -67.3301
3 124.024 -144.794 -150.005
4 -126.415 -146.575 95.2645
5 31.2014 -134.509 -102.953
6 -84.1621 -96.2858 150.577
7 56.9564 -124.59 50.8944
8 -88.2893 148.117 -26.0621
9 -73.8364 -57.9055 135.838
10 9.28846 62.1527 74.4142
Step 47 0.1
0 -0.000117848 -0.00921336 0.00859026
1 35.251 117.783 -84.1143
2 -30.7042 -82.2644 -67.3815
3 124.091 -144.767 -150.054
4 -126.505 -146.525 95.2298
5 31.2671 -134.585 -102.824
6 -84.0848 -96.1795 150.681
7 56.9355 -124.451 50.8397
8 -88.126 148.182 -26.1985
9 -73.6662 -57.8106 135.752
10 9.16576 62.085 74.2347
Step 48 0.1
0 -0.000118173 -0.00959406 0.00896771
1 35.3444 117.652 -84.0014
2 -30.5691 -82.2542 -67.4315
3 124.156 -144.74 -150.102
4 -126.595 -146.475 95.1947
5 31.3327 -134.66 -102.695
6 -84.0071 -96.0727 150.785
7 56.9141 -124.31 50.7844
8 -87.9622 148.246 -26.3347
9 -73.4955 -57.7152 135.664
10 9.04276 62.0153 74.0527
Step 49 0.1
0 -0.000118222 -0.00998192 0.0093539
1 35.4375 117.521 -83.8877
2 -30.4334 -82.2422 -67.4799
3 124.222 -144.713 -150.15
4 -126.685 -146.424 95.1594
5 31.398 -134.734 -102.565
6 -83.9291 -95.9656 150.888
7 56.8921 -124.169 50.7287
8 -87.7979 148.31 -26.4708
9 -73.3243 -57.6196 135.576
10 8.91946 61.9435 73.8683
Step 50 0.1
0 -0.000117986 -0.0103769 0.00974885
1 35.5303 117.388 -83.7733
2 -30.2969 -82.2284 -67.5269
3 124.287 -144.685 -150.197
4 -126.774 -146.373 95.1237
5 31.4632 -134.808 -102.434
6 -83.8508 -95.858 150.99
