PARTICLE_SIMULATION_DATA_3D
NumBalls: 11
Ball_1 Black 10
Ball_2 Red 3
Ball_3 Red 3
Ball_4 Red 3
Ball_5 Red 3
Ball_6 Red 3
Ball_7 Red 3
Ball_8 Red 3
Ball_9 Red 3
Ball_10 Red 3
Ball_11 Red 3
NumSteps: 201
Step 0 0.1
Step 58 0.1
0 8.52533 9.14178 14.9257
1 -7746.72 -6661.76 -6481.86
2 1.16077 2.70199 -1.28967
3 179.423 1.33366 59.9011
4 -407.507 35.7863 -434.157
5 18.1272 8.82927 -23.2105
6 -609.018 -956.215 1435.26
7 -44.4258 198.608 -544.415
8 31.3442 -21.2518 23.9304
9 666.572 147.568 -695.486
10 29.3507 43.6914 57.8758
Step 59 0.1
0 8.68666 9.2336 15.277
1 -7890.21 -6785.17 -6601.92
2 1.88084 0.370626 19.8436
3 189.391 2.14496 62.1619
4 -427.043 37.4535 -455.016
5 18.6463 5.89116 -14.7087
6 -627.579 -985.344 1478.74
7 -48.1616 212.503 -584.062
8 41.6156 -21.6005 27.1827
9 682.978 151.26 -712.751
10 27.2005 48.1135 65.1238
Step 60 0.1
0 8.81208 9.27229 15.6517
1 -8033.71 -6908.57 -6721.99
2 14.2117 13.1542 33.1871
3 199.274 2.95955 64.401
4 -446.575 39.1204 -475.87
5 18.2318 3.26421 -3.3942
6 -646.14 -1014.47 1522.21
7 -51.8967 226.396 -623.702
8 50.9093 -21.0342 30.0817
9 699.381 154.951 -730.013
10 24.8555 52.1249 71.8463
Step 61 0.1
0 8.95245 9.31374 16.0457
1 -8177.2 -7031.98 -6842.05
2 24.0891 24.1713 38.553
3 209.082 3.77668 66.6206
4 -466.102 40.7871 -496.719
5 15.1931 2.31283 13.2361
6 -664.701 -1043.6 1565.69
7 -55.6312 240.286 -663.335
8 59.3897 -19.881 32.7027
9 715.783 158.641 -747.274
10 22.3836 55.7954 78.1226
Step 62 0.1
0 9.1354 9.32009 16.4325
1 -8320.7 -7155.38 -6962.12
2 32.4312 33.6789 41.6345
3 218.821 4.59575 68.8229
4 -485.625 42.4535 -517.563
5 -7.79198 23.7475 38.8559
6 -683.261 -1072.73 1609.17
7 -59.3652 254.175 -702.963
8 67.1868 -18.3306 35.0993
9 732.183 162.332 -764.532
10 19.8295 59.1763 84.013
Step 63 0.1
0 9.3199 9.33232 16.8277
1 -8464.2 -7278.78 -7082.18
2 39.833 42.2056 43.7035
3 228.497 5.4163 71.0094
4 -505.143 44.1197 -538.404
5 -29.1579 43.8103 62.3418
6 -701.821 -1101.85 1652.64
7 -63.0988 268.062 -742.586
8 74.4015 -16.5008 37.3098
9 748.581 166.022 -781.788
10 17.2233 62.3077 89.5646
Step 64 0.1
0 9.50699 9.34761 17.2265
1 -8607.69 -7402.19 -7202.25
2 46.5933 50.0422 45.2105
3 238.115 6.23794 73.1818
4 -524.659 45.7856 -559.24
5 -50.1663 63.5566 85.4097
6 -720.381 -1130.98 1696.12
7 -66.8318 281.948 -782.204
8 81.1119 -14.469 39.3627
9 764.977 169.711 -799.043
10 14.5852 65.2213 94.8163
Step 65 0.1
0 9.69632 9.36508 17.6276
1 -8751.19 -7525.59 -7322.31
2 52.8805 57.3602 46.3625
3 247.679 7.06038 75.3412
4 -544.17 47.4514 -580.073
5 -71.02 83.1646 108.304
6 -738.941 -1160.1 1739.59
7 -70.5645 295.832 -821.819
8 87.3794 -12.2881 41.2795
